block_no;trial_no;condition;direction_deg;coherence
1;1;practice;0;0.6
1;2;practice;180;0.6
1;3;practice;0;0.7
1;4;practice;180;0.7
1;5;practice;0;0.8
1;6;practice;180;0.8
1;7;practice;0;0.9
1;8;practice;180;0.9
2;1;experimental_1;0;0.1
2;2;experimental_1;180;0.1
2;3;experimental_1;0;0.1
2;4;experimental_1;180;0.1
2;5;experimental_1;0;0.2
2;6;experimental_1;180;0.2
2;7;experimental_1;0;0.2
2;8;experimental_1;180;0.2
2;9;experimental_1;0;0.3
2;10;experimental_1;180;0.3
2;11;experimental_1;0;0.3
2;12;experimental_1;180;0.3
2;13;experimental_1;0;0.4
2;14;experimental_1;180;0.4
2;15;experimental_1;0;0.4
2;16;experimental_1;180;0.4
2;17;experimental_1;0;0.5
2;18;experimental_1;180;0.5
2;19;experimental_1;0;0.5
2;20;experimental_1;180;0.5
2;21;experimental_1;0;0.6
2;22;experimental_1;180;0.6
2;23;experimental_1;0;0.6
2;24;experimental_1;180;0.6
2;25;experimental_1;0;0.7
2;26;experimental_1;180;0.7
2;27;experimental_1;0;0.7
2;28;experimental_1;180;0.7
2;29;experimental_1;0;0.8
2;30;experimental_1;180;0.8
2;31;experimental_1;0;0.8
2;32;experimental_1;180;0.8
2;33;experimental_1;0;0.9
2;34;experimental_1;180;0.9
2;35;experimental_1;0;0.9
2;36;experimental_1;180;0.9
3;1;experimental_2;0;0.1
3;2;experimental_2;180;0.1
3;3;experimental_2;0;0.1
3;4;experimental_2;180;0.1
3;5;experimental_2;0;0.2
3;6;experimental_2;180;0.2
3;7;experimental_2;0;0.2
3;8;experimental_2;180;0.2
3;9;experimental_2;0;0.3
3;10;experimental_2;180;0.3
3;11;experimental_2;0;0.3
3;12;experimental_2;180;0.3
3;13;experimental_2;0;0.4
3;14;experimental_2;180;0.4
3;15;experimental_2;0;0.4
3;16;experimental_2;180;0.4
3;17;experimental_2;0;0.5
3;18;experimental_2;180;0.5
3;19;experimental_2;0;0.5
3;20;experimental_2;180;0.5
3;21;experimental_2;0;0.6
3;22;experimental_2;180;0.6
3;23;experimental_2;0;0.6
3;24;experimental_2;180;0.6
3;25;experimental_2;0;0.7
3;26;experimental_2;180;0.7
3;27;experimental_2;0;0.7
3;28;experimental_2;180;0.7
3;29;experimental_2;0;0.8
3;30;experimental_2;180;0.8
3;31;experimental_2;0;0.8
3;32;experimental_2;180;0.8
3;33;experimental_2;0;0.9
3;34;experimental_2;180;0.9
3;35;experimental_2;0;0.9
3;36;experimental_2;180;0.9
